model,sample,dependent_variable,term,coef,std_error,p_value,ci_low,ci_high,nobs,r_squared,approx_pct_effect
pooled_stage_ln,all_selected_products,ln_import_value,US_Post2018,0.17663,0.057589,0.002162,0.063757,0.289504,10608,0.872752,0.19319
pooled_stage_ln,all_selected_products,ln_import_value,US_Post2022,0.025674,0.04752,0.589008,-0.067463,0.11881,10608,0.872752,0.026006
pooled_stage_ln,all_selected_products,ln_import_value,US_Post2023,-0.131146,0.051939,0.01157,-0.232945,-0.029347,10608,0.872752,-0.12291
