product_code,product_name,baseline_rank,policy_weighted_rank,rank_change,baseline_siri_score,policy_weighted_siri_score
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,1,1,0,39.4657794262074,33.83505979587939
854232,Electronic integrated circuits: memories,2,2,0,34.9878485592227,27.990278847378164
848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,3,3,0,18.158904393544425,20.322966028008786
854231,"Electronic integrated circuits: processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",4,4,0,14.154253574103748,17.025731437413835
