exporter_code,exporter_iso3,exporter_name,gdelt_country_code,mapping_status
584,MHL,Marshall Isds,MHL,mapped
585,PLW,Palau,PLW,mapped
586,PAK,Pakistan,PAK,mapped
591,PAN,Panama,PAN,mapped
598,PNG,Papua New Guinea,PNG,mapped
600,PRY,Paraguay,PRY,mapped
604,PER,Peru,PER,mapped
624,GNB,Guinea-Bissau,GNB,mapped
626,TLS,Timor-Leste,TLS,mapped
634,QAT,Qatar,QAT,mapped
642,ROU,Romania,ROU,mapped
646,RWA,Rwanda,RWA,mapped
662,LCA,Saint Lucia,LCA,mapped
666,SPM,Saint Pierre and Miquelon,SPM,mapped
670,VCT,Saint Vincent and the Grenadines,VCT,mapped
674,SMR,San Marino,SMR,mapped
678,STP,Sao Tome and Principe,STP,mapped
682,SAU,Saudi Arabia,SAU,mapped
686,SEN,Senegal,SEN,mapped
706,SOM,Somalia,SOM,mapped
716,ZWE,Zimbabwe,ZWE,mapped
729,SDN,Sudan,SDN,mapped
748,SWZ,Eswatini,SWZ,mapped
760,SYR,Syria,SYR,mapped
762,TJK,Tajikistan,TJK,mapped
768,TGO,Togo,TGO,mapped
780,TTO,Trinidad and Tobago,TTO,mapped
788,TUN,Tunisia,TUN,mapped
795,TKM,Turkmenistan,TKM,mapped
796,TCA,Turks and Caicos Isds,TCA,mapped
798,TUV,Tuvalu,TUV,mapped
800,UGA,Uganda,UGA,mapped
807,MKD,North Macedonia,MKD,mapped
818,EGY,Egypt,EGY,mapped
834,TZA,United Rep. of Tanzania,TZA,mapped
858,URY,Uruguay,URY,mapped
860,UZB,Uzbekistan,UZB,mapped
862,VEN,Venezuela,VEN,mapped
876,WLF,Wallis and Futuna Isds,WLF,mapped
882,WSM,Samoa,WSM,mapped
887,YEM,Yemen,YEM,mapped
894,ZMB,Zambia,ZMB,mapped
524,NPL,Nepal,NPL,mapped
574,NFK,Norfolk Isds,NFK,mapped
690,SYC,Seychelles,SYC,mapped
694,SLE,Sierra Leone,SLE,mapped
232,ERI,Eritrea,ERI,mapped
262,DJI,Djibouti,DJI,mapped
292,GIB,Gibraltar,GIB,mapped
728,SSD,South Sudan,SSD,mapped
736,SDN,Sudan (...2011),SDN,mapped
740,SUR,Suriname,SUR,mapped
854,BFA,Burkina Faso,BFA,mapped
