year,exporter_code,importer_code,product_code,import_value_kusd,quantity_tons,product_description,product_group,exporter_name,exporter_iso3,importer_name,importer_iso3
2009,764,156,848610,0.091,0.001,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Thailand,THA,China,CHN
2009,826,156,848610,297.646,,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,United Kingdom,GBR,China,CHN
2009,842,156,848610,120184.846,780.795,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,USA,USA,China,CHN
2010,36,156,848610,4.942,0.258,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Australia,AUS,China,CHN
2010,40,156,848610,8919.589,42.854,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Austria,AUT,China,CHN
2010,124,156,848610,206.87,1.272,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Canada,CAN,China,CHN
2010,203,156,848610,1266.271,5.603,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Czechia,CZE,China,CHN
2010,208,156,848610,2548.416,21.505,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Denmark,DNK,China,CHN
2010,251,156,848610,403.981,1.163,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,France,FRA,China,CHN
2010,276,156,848610,251102.989,1030.155,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Germany,DEU,China,CHN
2010,344,156,848610,22745.106,105.583,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,"China, Hong Kong SAR",HKG,China,CHN
2010,372,156,848610,2.951,0.012,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Ireland,IRL,China,CHN
2010,376,156,848610,2142.37,10.129,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Israel,ISR,China,CHN
2010,380,156,848610,7565.947,34.568,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Italy,ITA,China,CHN
2010,392,156,848610,739695.106,3441.011,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Japan,JPN,China,CHN
2010,410,156,848610,37655.471,271.223,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Rep. of Korea,KOR,China,CHN
2010,458,156,848610,7272.906,36.545,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Malaysia,MYS,China,CHN
2010,490,156,848610,19684.414,185.849,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,"Other Asia, nes",S19,China,CHN
2010,528,156,848610,9133.043,55.347,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Netherlands,NLD,China,CHN
2010,608,156,848610,0.251,0.001,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Philippines,PHL,China,CHN
2010,643,156,848610,2742.403,12.53,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Russian Federation,RUS,China,CHN
2010,699,156,848610,3.617,0.026,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,India,IND,China,CHN
2010,702,156,848610,21458.036,114.776,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Singapore,SGP,China,CHN
2010,703,156,848610,127.273,25.733,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Slovakia,SVK,China,CHN
2010,757,156,848610,900359.224,3602.666,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Switzerland,CHE,China,CHN
2010,764,156,848610,902.82,3.693,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Thailand,THA,China,CHN
2010,804,156,848610,320.317,1.463,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Ukraine,UKR,China,CHN
2010,826,156,848610,2949.805,13.439,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,United Kingdom,GBR,China,CHN
2010,842,156,848610,221738.859,1746.997,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,USA,USA,China,CHN
2011,36,156,848610,2.145,0.037,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Australia,AUS,China,CHN
2011,40,156,848610,5515.714,25.643,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Austria,AUT,China,CHN
2011,124,156,848610,163.29,1.2,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Canada,CAN,China,CHN
2011,203,156,848610,4732.485,53.616,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Czechia,CZE,China,CHN
2011,208,156,848610,3712.027,36.023,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Denmark,DNK,China,CHN
2011,251,156,848610,57.45,0.488,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,France,FRA,China,CHN
2011,276,156,848610,322633.081,941.296,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Germany,DEU,China,CHN
2011,344,156,848610,25024.3,121.038,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,"China, Hong Kong SAR",HKG,China,CHN
