sample_id,product_code,product_group,is_core_product,graph_year,target_year,split,current_siri_score,target_siri,concentration_raw,policy_exposure_raw,alternative_insufficiency_raw,structural_volatility_raw,log_total_import_value,source_count,top1_import_share,usa_import_share,weighted_gdelt_pressure_score,product_group_semiconductor_equipment,product_group_semiconductor_devices,product_group_integrated_circuits,product_group_related_hardware
848610-2008,848610,semiconductor_equipment,False,2008,2009,train,29.598544335631328,31.30265502858194,0.2877732630883413,0.2022250467832879,0.38790208368277385,0.0,13.462658123205324,22,0.44427548762720576,0.20222504678328787,0.0,1,0,0,0
848610-2009,848610,semiconductor_equipment,False,2009,2010,train,31.30265502858194,27.252695802359067,0.24819318553878392,0.17549452854713296,0.3197880123104167,0.18261255617512778,13.43693509305992,19,0.3371929339015019,0.17549452854713296,0.0,1,0,0,0
848610-2010,848610,semiconductor_equipment,False,2010,2011,train,27.252695802359067,22.12113591578458,0.28817080971250525,0.09807318473921539,0.34242416083957367,0.16005395803522957,14.63129739590035,26,0.3982211187756162,0.09807318473921539,0.0,1,0,0,0
848610-2011,848610,semiconductor_equipment,False,2011,2012,train,22.12113591578458,34.357518124717956,0.29671011349242393,0.06593494920711736,0.33509481856083234,0.0656100427489149,14.982893957398911,23,0.3853111470562353,0.06593494920711736,0.0,1,0,0,0
848610-2012,848610,semiconductor_equipment,False,2012,2013,train,34.357518124717956,21.039940471539158,0.21912392373216089,0.17515783620289935,0.27697451849286914,0.32907054137287534,13.34449149814337,24,0.40333363477041534,0.17515783620289932,0.0,1,0,0,0
848610-2013,848610,semiconductor_equipment,False,2013,2014,train,21.039940471539158,18.33688971403434,0.166586214543956,0.06836830616083182,0.1865479578692541,0.23790246160173523,12.92184894528798,24,0.319765277041027,0.06836830616083182,0.0,1,0,0,0
848610-2014,848610,semiconductor_equipment,False,2014,2015,train,18.33688971403434,22.67176709420625,0.19422576587938137,0.046265240373260796,0.21117324475439186,0.1591344909769643,13.305093582356916,25,0.37246391630924097,0.046265240373260796,0.0,1,0,0,0
848610-2015,848610,semiconductor_equipment,False,2015,2016,train,22.67176709420625,21.94647673896732,0.2560662210693945,0.04189006924189527,0.27703536922298,0.20172836770769714,12.965369621864731,25,0.43783448903254835,0.04189006924189527,0.0,1,0,0,0
848610-2016,848610,semiconductor_equipment,False,2016,2017,train,21.94647673896732,22.850625972315658,0.24166057311986167,0.07061146734933352,0.27400407469626825,0.13879270592166715,13.382457115407139,20,0.43442780615068244,0.07061146734933349,0.0,1,0,0,0
848610-2017,848610,semiconductor_equipment,False,2017,2018,train,22.850625972315658,24.08986908603627,0.24016651190280255,0.09056162890452993,0.2804633432073638,0.1245608847115067,13.416812435575016,26,0.44094559614346224,0.09056162890452993,0.0,1,0,0,0
