product_code,exporter_code,year,exporter_name,exporter_iso3,product_description,product_group,import_value_kusd,quantity_tons,importer_code,importer_name,importer_iso3,US,Post2018,Post2022,Post2023,US_Post2018,US_Post2022,US_Post2023,Period_2018_2021,Period_2022,Period_2023_2024,US_Period_2018_2021,US_Period_2022,US_Period_2023_2024,ln_import_value,asinh_import_value,product_year_total_kusd,import_share,post2018_label
848620,40,2008,Austria,AUT,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,10915.204,33.856,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,9.29800356981777,9.991059141343996,2330789.952,0.004683049191384192,pre-2018
848620,40,2009,Austria,AUT,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,11352.33,43.326,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,9.337266371948996,10.030325470684607,1718548.232,0.006605767466176067,pre-2018
848620,40,2010,Austria,AUT,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,60211.739,88.741,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,11.005639220206081,11.698769792915787,4230023.173,0.01423437568482559,pre-2018
848620,40,2011,Austria,AUT,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,30211.175,57.428,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,10.316000267816934,11.00911434886403,6334163.036,0.0047695606867546375,pre-2018
848620,40,2012,Austria,AUT,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,47078.123,55.084,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,10.759584933333253,11.452710872942934,2468393.926,0.01907237029880781,pre-2018
848620,40,2013,Austria,AUT,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,44297.941,180.644,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,10.69871605055562,11.391840657085107,2997606.8660000004,0.014777768726928181,pre-2018
848620,40,2014,Austria,AUT,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,34367.515,135.477,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,10.444896162625911,11.13801424657595,4141476.0659999996,0.008298373442779183,pre-2018
848620,40,2015,Austria,AUT,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,34996.473,132.628,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,10.463031137865006,11.156149744729266,4499493.777,0.007777868963591191,pre-2018
848620,40,2016,Austria,AUT,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,102645.888,496.586,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,11.539050105377683,12.232187543777345,5252597.518,0.019541929045247666,pre-2018
848620,40,2017,Austria,AUT,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,105993.796,376.989,156,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,11.571145277549416,12.264283023661667,6602496.921,0.016053592643545892,pre-2018
848620,40,2018,Austria,AUT,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,257828.211,845.72,156,China,CHN,0,1,0,0,0,0,0,1,0,0,0,0,0,12.460052671834756,13.153195973854462,11170503.327,0.023081163261176298,2018+
848620,40,2019,Austria,AUT,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,211987.784,481.454,156,China,CHN,0,1,0,0,0,0,0,1,0,0,0,0,0,12.264288646594219,12.9574311099179,10545700.397,0.020101821218086707,2018+
848620,40,2020,Austria,AUT,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,272105.252,598.317,156,China,CHN,0,1,0,0,0,0,0,1,0,0,0,0,0,12.513947901354122,13.207091406875689,13911202.336,0.019560153423678877,2018+
848620,40,2021,Austria,AUT,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,equipment,361642.236,763.3,156,China,CHN,0,1,0,0,0,0,0,1,0,0,0,0,0,12.798413468936475,13.491557884338409,21386953.645,0.016909478647724446,2018+
